,도서명,카테고리,정가,평점,리뷰수,태그
2113,시원스쿨 LAB 빅아이엘츠 Speaking START,외국어,"19,800",9.9,0,#쿼리 #피벗 테이블 #슬라이
2114,연차휴가 운영과 노무관리,경제/경영,"22,000",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
2115,실전! 딥러닝,컴퓨터/IT,"25,000",8.3,14,#자본 #미래상 #빅데이터
2116,워드캐스트 경찰 공무원 영단어 필수 2500,취업/수험서,"20,000",9.5,256,#고급 활용 #국가 공인 #아키텍처
2117,공기업의 정치경제,정치/사회,"20,000",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
2118,식품산업의 신혁명인 푸드테크 관련 비즈니스 전략 모색을 위한 종합 분석,경제/경영,"440,000",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
2119,이것이 4차 산업혁명이다,경제/경영,"18,000",9.4,67,#프로그래밍 #튜플 #딕셔너리
2120,셀프서비스분석,경제/경영,"19,000",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
2121,빅토스 토익스피킹 START Lv 5(2019),외국어,"18,000",9.0,0,#크롤링 #엑셀 파일 #네이버
2122,사물인터넷을 위한 인공지능,컴퓨터/IT,"28,000",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
2123,KS 규격집,기술/공학,"18,000",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
2124,고시넷 NCS 기반 건설안전기사 필기 기출문제+유형분석(2020),기술/공학,"37,000",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
2125,디지털 야만,정치/사회,"23,000",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
2126,스마트노멀,기술/공학,"21,400",10,0,#급 합격 #빈출 #단기 합격
2127,네트워크 중심성이론,컴퓨터/IT,"9,000",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
2128,탁월함은 어떻게 만들어지는가,경제/경영,"18,000",10,0,#스레드 #디자인 패턴 #무결성
2129,이호진의 PHP 시리즈 세트,컴퓨터/IT,"77,400",9.9,1,#사실충실성 #탈진실 #편견
2130,센스메이킹,경제/경영,"16,000",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
2131,디지털 르네상스,정치/사회,"36,000",0.0,7,#모의고사 #인사이트 #마이닝
2132,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
2133,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.9,0,#쿼리 #피벗 테이블 #슬라이
2134,가장 쉬운 딥러닝 입문 교실,컴퓨터/IT,"22,000",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
2135,스마트 거버넌스: 정책과정의 혁신,정치/사회,"23,000",8.3,14,#자본 #미래상 #빅데이터
2136,프랜차이즈 산업통계현황(2021),경제/경영,"100,000",9.5,256,#고급 활용 #국가 공인 #아키텍처
2137,굿 차트,자기계발,"25,000",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
2138,정치의 미래와 인터넷 소셜 의지,정치/사회,"15,000",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
2139,실용중국어,외국어,"12,000",9.4,67,#프로그래밍 #튜플 #딕셔너리
2140,하둡 애플리케이션 아키텍처,컴퓨터/IT,"33,000",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
2141,공간디자인을 위한 도구,기술/공학,"15,000",9.0,0,#크롤링 #엑셀 파일 #네이버
2142,초보자를 위한 신경망 딥러닝 입문,컴퓨터/IT,"22,000",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
2143,진짜 쉽고 쓸모 있는 언어 파이썬,컴퓨터/IT,"27,000",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
2144,마케팅 미래 지도를 바꾸다,경제/경영,"14,000",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
2145,JBoss 인피니스팬 따라잡기,컴퓨터/IT,"18,000",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
2146,소셜 웹 마이닝,컴퓨터/IT,"30,000",10,0,#급 합격 #빈출 #단기 합격
2147,미래세대 보호를 위한 법적과제 2,정치/사회,"7,000",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
2148,먹히는 자에 대한 예의,인문,"15,500",10,0,#스레드 #디자인 패턴 #무결성
2149,광고 비즈니스 향후 10년,경제/경영,"15,000",9.9,1,#사실충실성 #탈진실 #편견
2150,손에 잡히는 판다스,컴퓨터/IT,"32,000",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
2151,공간정보표준 활용 가이드,기술/공학,"16,000",0.0,7,#모의고사 #인사이트 #마이닝
2152,벤처창업 지원정책 현황 및 성과분석,정치/사회,"18,000",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
2153,디지털 트랜스포메이션(DX) & 핵심기술의 기술개발 트렌드와 향후 전망,기술/공학,"420,000",9.9,0,#쿼리 #피벗 테이블 #슬라이
2154,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
2155,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",8.3,14,#자본 #미래상 #빅데이터
2156,미래예측 2030,경제/경영,"18,000",9.5,256,#고급 활용 #국가 공인 #아키텍처
2157,ICT 벤처생태계의 환경변화 및 진화방향 분석,경제/경영,"23,000",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
2158,Julia 프로그래밍,컴퓨터/IT,"20,000",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
2159,"온라인, 다음 혁명",경제/경영,"16,000",9.4,67,#프로그래밍 #튜플 #딕셔너리
2160,디자인 씽킹,경제/경영,"14,000",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
