,도서명,카테고리,정가,평점,리뷰수,태그
3219,비전공자를 위한 이해할 수 있는 IT 지식,컴퓨터/IT,"16,800",9.4,67,#프로그래밍 #튜플 #딕셔너리
3220,2022 수제비 정보처리기사 필기 1권+2권 합본세트,컴퓨터/IT,"36,500",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
3221,Do it! 쉽게 배우는 파이썬 데이터 분석,컴퓨터/IT,"23,000",9.0,0,#크롤링 #엑셀 파일 #네이버
3222,1일 1로그 100일 완성 IT 지식,컴퓨터/IT,"20,000",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
3223,만들면서 배우는 파이썬과 40개의 작품들,컴퓨터/IT,"18,800",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
3224,2022 이기적 컴퓨터활용능력 2급 필기 기본서,컴퓨터/IT,"20,000",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
3225,"빅데이터, 인공지능을 만나다",경제/경영,"19,000",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
3226,컨버티드: 마음을 훔치는 데이터분석의 기술,경제/경영,"17,800",10,0,#급 합격 #빈출 #단기 합격
3227,데이터 천재들은 어떻게 기획하고 분석할까?,경제/경영,"18,000",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
3228,2022 에듀윌 한국사능력검정시험 2주끝장 심화,인문,"21,000",10,0,#스레드 #디자인 패턴 #무결성
3229,이기적 빅데이터분석기사 실기 기본서,컴퓨터/IT,"32,000",9.9,1,#사실충실성 #탈진실 #편견
3230,면접을 위한 CS 전공지식 노트,컴퓨터/IT,"24,000",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
3231,팩트풀니스,인문,"19,800",0.0,7,#모의고사 #인사이트 #마이닝
3232,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
3233,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.9,0,#쿼리 #피벗 테이블 #슬라이
3234,변화하는 세계 질서,경제/경영,"38,000",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
3235,2022 ADsP 데이터 분석 준전문가,컴퓨터/IT,"28,000",8.3,14,#자본 #미래상 #빅데이터
3236,나는 대출 없이 0원으로 소형 아파트를 산다,경제/경영,"20,000",9.5,256,#고급 활용 #국가 공인 #아키텍처
3237,진짜 쓰는 실무 엑셀,컴퓨터/IT,"21,000",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
3238,데이터로 경험을 디자인하라,경제/경영,"19,000",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
3239,그냥 하지 말라 10만부 기념 리커버에디션(색상랜덤),경제/경영,"17,000",9.4,67,#프로그래밍 #튜플 #딕셔너리
3240,SQL 자격검정 실전문제,컴퓨터/IT,"18,000",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
3241,비전공자를 위한 이해할 수 있는 IT 지식,컴퓨터/IT,"16,800",9.0,0,#크롤링 #엑셀 파일 #네이버
3242,2022 수제비 정보처리기사 필기 1권+2권 합본세트,컴퓨터/IT,"36,500",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
3243,Do it! 쉽게 배우는 파이썬 데이터 분석,컴퓨터/IT,"23,000",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
3244,1일 1로그 100일 완성 IT 지식,컴퓨터/IT,"20,000",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
3245,만들면서 배우는 파이썬과 40개의 작품들,컴퓨터/IT,"18,800",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
3246,2022 이기적 컴퓨터활용능력 2급 필기 기본서,컴퓨터/IT,"20,000",10,0,#급 합격 #빈출 #단기 합격
3247,"빅데이터, 인공지능을 만나다",경제/경영,"19,000",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
3248,컨버티드: 마음을 훔치는 데이터분석의 기술,경제/경영,"17,800",10,0,#스레드 #디자인 패턴 #무결성
3249,데이터 천재들은 어떻게 기획하고 분석할까?,경제/경영,"18,000",9.9,1,#사실충실성 #탈진실 #편견
3250,2022 에듀윌 한국사능력검정시험 2주끝장 심화,인문,"21,000",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
3251,이기적 빅데이터분석기사 실기 기본서,컴퓨터/IT,"32,000",0.0,7,#모의고사 #인사이트 #마이닝
3252,면접을 위한 CS 전공지식 노트,컴퓨터/IT,"24,000",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
3253,팩트풀니스,인문,"19,800",9.9,0,#쿼리 #피벗 테이블 #슬라이
3254,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
3255,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",8.3,14,#자본 #미래상 #빅데이터
3256,변화하는 세계 질서,경제/경영,"38,000",9.5,256,#고급 활용 #국가 공인 #아키텍처
3257,2022 ADsP 데이터 분석 준전문가,컴퓨터/IT,"28,000",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
3258,나는 대출 없이 0원으로 소형 아파트를 산다,경제/경영,"20,000",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
3259,진짜 쓰는 실무 엑셀,컴퓨터/IT,"21,000",9.4,67,#프로그래밍 #튜플 #딕셔너리
3260,데이터로 경험을 디자인하라,경제/경영,"19,000",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
3261,그냥 하지 말라 10만부 기념 리커버에디션(색상랜덤),경제/경영,"17,000",9.0,0,#크롤링 #엑셀 파일 #네이버
3262,SQL 자격검정 실전문제,컴퓨터/IT,"18,000",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
3263,비전공자를 위한 이해할 수 있는 IT 지식,컴퓨터/IT,"16,800",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
3264,2022 수제비 정보처리기사 필기 1권+2권 합본세트,컴퓨터/IT,"36,500",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
3265,Do it! 쉽게 배우는 파이썬 데이터 분석,컴퓨터/IT,"23,000",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
3266,1일 1로그 100일 완성 IT 지식,컴퓨터/IT,"20,000",10,0,#급 합격 #빈출 #단기 합격
3267,만들면서 배우는 파이썬과 40개의 작품들,컴퓨터/IT,"18,800",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
3268,2022 이기적 컴퓨터활용능력 2급 필기 기본서,컴퓨터/IT,"20,000",10,0,#스레드 #디자인 패턴 #무결성
3269,"빅데이터, 인공지능을 만나다",경제/경영,"19,000",9.9,1,#사실충실성 #탈진실 #편견
3270,컨버티드: 마음을 훔치는 데이터분석의 기술,경제/경영,"17,800",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
3271,데이터 천재들은 어떻게 기획하고 분석할까?,경제/경영,"18,000",0.0,7,#모의고사 #인사이트 #마이닝
3272,2022 에듀윌 한국사능력검정시험 2주끝장 심화,인문,"21,000",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
3273,이기적 빅데이터분석기사 실기 기본서,컴퓨터/IT,"32,000",9.9,0,#쿼리 #피벗 테이블 #슬라이
3274,면접을 위한 CS 전공지식 노트,컴퓨터/IT,"24,000",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
3275,팩트풀니스,인문,"19,800",8.3,14,#자본 #미래상 #빅데이터
3276,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",9.5,256,#고급 활용 #국가 공인 #아키텍처
3277,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
3278,변화하는 세계 질서,경제/경영,"38,000",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
3279,2022 ADsP 데이터 분석 준전문가,컴퓨터/IT,"28,000",9.4,67,#프로그래밍 #튜플 #딕셔너리
3280,나는 대출 없이 0원으로 소형 아파트를 산다,경제/경영,"20,000",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
3281,진짜 쓰는 실무 엑셀,컴퓨터/IT,"21,000",9.0,0,#크롤링 #엑셀 파일 #네이버
3282,데이터로 경험을 디자인하라,경제/경영,"19,000",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
3283,그냥 하지 말라 10만부 기념 리커버에디션(색상랜덤),경제/경영,"17,000",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
3284,SQL 자격검정 실전문제,컴퓨터/IT,"18,000",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
3285,비전공자를 위한 이해할 수 있는 IT 지식,컴퓨터/IT,"16,800",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
3286,2022 수제비 정보처리기사 필기 1권+2권 합본세트,컴퓨터/IT,"36,500",10,0,#급 합격 #빈출 #단기 합격
3287,Do it! 쉽게 배우는 파이썬 데이터 분석,컴퓨터/IT,"23,000",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
3288,1일 1로그 100일 완성 IT 지식,컴퓨터/IT,"20,000",10,0,#스레드 #디자인 패턴 #무결성
3289,만들면서 배우는 파이썬과 40개의 작품들,컴퓨터/IT,"18,800",9.9,1,#사실충실성 #탈진실 #편견
3290,2022 이기적 컴퓨터활용능력 2급 필기 기본서,컴퓨터/IT,"20,000",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
3291,"빅데이터, 인공지능을 만나다",경제/경영,"19,000",0.0,7,#모의고사 #인사이트 #마이닝
3292,컨버티드: 마음을 훔치는 데이터분석의 기술,경제/경영,"17,800",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
3293,데이터 천재들은 어떻게 기획하고 분석할까?,경제/경영,"18,000",9.9,0,#쿼리 #피벗 테이블 #슬라이
3294,2022 에듀윌 한국사능력검정시험 2주끝장 심화,인문,"21,000",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
3295,이기적 빅데이터분석기사 실기 기본서,컴퓨터/IT,"32,000",8.3,14,#자본 #미래상 #빅데이터
3296,면접을 위한 CS 전공지식 노트,컴퓨터/IT,"24,000",9.5,256,#고급 활용 #국가 공인 #아키텍처
3297,팩트풀니스,인문,"19,800",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
3298,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
3299,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.4,67,#프로그래밍 #튜플 #딕셔너리
3300,변화하는 세계 질서,경제/경영,"38,000",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
3301,2022 ADsP 데이터 분석 준전문가,컴퓨터/IT,"28,000",9.0,0,#크롤링 #엑셀 파일 #네이버
3302,나는 대출 없이 0원으로 소형 아파트를 산다,경제/경영,"20,000",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
3303,진짜 쓰는 실무 엑셀,컴퓨터/IT,"21,000",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
3304,데이터로 경험을 디자인하라,경제/경영,"19,000",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
3305,그냥 하지 말라 10만부 기념 리커버에디션(색상랜덤),경제/경영,"17,000",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
3306,SQL 자격검정 실전문제,컴퓨터/IT,"18,000",10,0,#급 합격 #빈출 #단기 합격
3307,비전공자를 위한 이해할 수 있는 IT 지식,컴퓨터/IT,"16,800",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
3308,2022 수제비 정보처리기사 필기 1권+2권 합본세트,컴퓨터/IT,"36,500",10,0,#스레드 #디자인 패턴 #무결성
3309,Do it! 쉽게 배우는 파이썬 데이터 분석,컴퓨터/IT,"23,000",9.9,1,#사실충실성 #탈진실 #편견
3310,1일 1로그 100일 완성 IT 지식,컴퓨터/IT,"20,000",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
3311,만들면서 배우는 파이썬과 40개의 작품들,컴퓨터/IT,"18,800",0.0,7,#모의고사 #인사이트 #마이닝
3312,2022 이기적 컴퓨터활용능력 2급 필기 기본서,컴퓨터/IT,"20,000",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
3313,"빅데이터, 인공지능을 만나다",경제/경영,"19,000",9.9,0,#쿼리 #피벗 테이블 #슬라이
3314,컨버티드: 마음을 훔치는 데이터분석의 기술,경제/경영,"17,800",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
3315,데이터 천재들은 어떻게 기획하고 분석할까?,경제/경영,"18,000",8.3,14,#자본 #미래상 #빅데이터
3316,2022 에듀윌 한국사능력검정시험 2주끝장 심화,인문,"21,000",9.5,256,#고급 활용 #국가 공인 #아키텍처
3317,이기적 빅데이터분석기사 실기 기본서,컴퓨터/IT,"32,000",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
3318,면접을 위한 CS 전공지식 노트,컴퓨터/IT,"24,000",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
3319,팩트풀니스,인문,"19,800",9.4,67,#프로그래밍 #튜플 #딕셔너리
3320,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
3321,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.0,0,#크롤링 #엑셀 파일 #네이버
3322,변화하는 세계 질서,경제/경영,"38,000",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
3323,2022 ADsP 데이터 분석 준전문가,컴퓨터/IT,"28,000",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
3324,나는 대출 없이 0원으로 소형 아파트를 산다,경제/경영,"20,000",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
3325,진짜 쓰는 실무 엑셀,컴퓨터/IT,"21,000",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
3326,데이터로 경험을 디자인하라,경제/경영,"19,000",10,0,#급 합격 #빈출 #단기 합격
3327,그냥 하지 말라 10만부 기념 리커버에디션(색상랜덤),경제/경영,"17,000",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
3328,SQL 자격검정 실전문제,컴퓨터/IT,"18,000",10,0,#스레드 #디자인 패턴 #무결성
3329,비전공자를 위한 이해할 수 있는 IT 지식,컴퓨터/IT,"16,800",9.9,1,#사실충실성 #탈진실 #편견
3330,2022 수제비 정보처리기사 필기 1권+2권 합본세트,컴퓨터/IT,"36,500",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
3331,Do it! 쉽게 배우는 파이썬 데이터 분석,컴퓨터/IT,"23,000",0.0,7,#모의고사 #인사이트 #마이닝
3332,1일 1로그 100일 완성 IT 지식,컴퓨터/IT,"20,000",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
3333,만들면서 배우는 파이썬과 40개의 작품들,컴퓨터/IT,"18,800",9.9,0,#쿼리 #피벗 테이블 #슬라이
3334,2022 이기적 컴퓨터활용능력 2급 필기 기본서,컴퓨터/IT,"20,000",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
3335,"빅데이터, 인공지능을 만나다",경제/경영,"19,000",8.3,14,#자본 #미래상 #빅데이터
3336,컨버티드: 마음을 훔치는 데이터분석의 기술,경제/경영,"17,800",9.5,256,#고급 활용 #국가 공인 #아키텍처
3337,데이터 천재들은 어떻게 기획하고 분석할까?,경제/경영,"18,000",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
3338,2022 에듀윌 한국사능력검정시험 2주끝장 심화,인문,"21,000",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
3339,이기적 빅데이터분석기사 실기 기본서,컴퓨터/IT,"32,000",9.4,67,#프로그래밍 #튜플 #딕셔너리
3340,면접을 위한 CS 전공지식 노트,컴퓨터/IT,"24,000",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
3341,팩트풀니스,인문,"19,800",9.0,0,#크롤링 #엑셀 파일 #네이버
3342,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
3343,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
3344,변화하는 세계 질서,경제/경영,"38,000",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
3345,2022 ADsP 데이터 분석 준전문가,컴퓨터/IT,"28,000",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
3346,나는 대출 없이 0원으로 소형 아파트를 산다,경제/경영,"20,000",10,0,#급 합격 #빈출 #단기 합격
3347,진짜 쓰는 실무 엑셀,컴퓨터/IT,"21,000",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
3348,데이터로 경험을 디자인하라,경제/경영,"19,000",10,0,#스레드 #디자인 패턴 #무결성
3349,그냥 하지 말라 10만부 기념 리커버에디션(색상랜덤),경제/경영,"17,000",9.9,1,#사실충실성 #탈진실 #편견
3350,SQL 자격검정 실전문제,컴퓨터/IT,"18,000",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
3351,비전공자를 위한 이해할 수 있는 IT 지식,컴퓨터/IT,"16,800",0.0,7,#모의고사 #인사이트 #마이닝
3352,2022 수제비 정보처리기사 필기 1권+2권 합본세트,컴퓨터/IT,"36,500",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
3353,Do it! 쉽게 배우는 파이썬 데이터 분석,컴퓨터/IT,"23,000",9.9,0,#쿼리 #피벗 테이블 #슬라이
3354,1일 1로그 100일 완성 IT 지식,컴퓨터/IT,"20,000",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
3355,만들면서 배우는 파이썬과 40개의 작품들,컴퓨터/IT,"18,800",8.3,14,#자본 #미래상 #빅데이터
3356,2022 이기적 컴퓨터활용능력 2급 필기 기본서,컴퓨터/IT,"20,000",9.5,256,#고급 활용 #국가 공인 #아키텍처
3357,"빅데이터, 인공지능을 만나다",경제/경영,"19,000",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
3358,컨버티드: 마음을 훔치는 데이터분석의 기술,경제/경영,"17,800",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
3359,데이터 천재들은 어떻게 기획하고 분석할까?,경제/경영,"18,000",9.4,67,#프로그래밍 #튜플 #딕셔너리
3360,2022 에듀윌 한국사능력검정시험 2주끝장 심화,인문,"21,000",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
3361,이기적 빅데이터분석기사 실기 기본서,컴퓨터/IT,"32,000",9.0,0,#크롤링 #엑셀 파일 #네이버
3362,면접을 위한 CS 전공지식 노트,컴퓨터/IT,"24,000",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
3363,팩트풀니스,인문,"19,800",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
3364,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
3365,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
3366,변화하는 세계 질서,경제/경영,"38,000",10,0,#급 합격 #빈출 #단기 합격
3367,2022 ADsP 데이터 분석 준전문가,컴퓨터/IT,"28,000",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
3368,나는 대출 없이 0원으로 소형 아파트를 산다,경제/경영,"20,000",10,0,#스레드 #디자인 패턴 #무결성
3369,진짜 쓰는 실무 엑셀,컴퓨터/IT,"21,000",9.9,1,#사실충실성 #탈진실 #편견
3370,데이터로 경험을 디자인하라,경제/경영,"19,000",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
3371,그냥 하지 말라 10만부 기념 리커버에디션(색상랜덤),경제/경영,"17,000",0.0,7,#모의고사 #인사이트 #마이닝
3372,SQL 자격검정 실전문제,컴퓨터/IT,"18,000",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
3373,비전공자를 위한 이해할 수 있는 IT 지식,컴퓨터/IT,"16,800",9.9,0,#쿼리 #피벗 테이블 #슬라이
3374,2022 수제비 정보처리기사 필기 1권+2권 합본세트,컴퓨터/IT,"36,500",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
3375,Do it! 쉽게 배우는 파이썬 데이터 분석,컴퓨터/IT,"23,000",8.3,14,#자본 #미래상 #빅데이터
3376,1일 1로그 100일 완성 IT 지식,컴퓨터/IT,"20,000",9.5,256,#고급 활용 #국가 공인 #아키텍처
3377,만들면서 배우는 파이썬과 40개의 작품들,컴퓨터/IT,"18,800",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
3378,2022 이기적 컴퓨터활용능력 2급 필기 기본서,컴퓨터/IT,"20,000",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
3379,"빅데이터, 인공지능을 만나다",경제/경영,"19,000",9.4,67,#프로그래밍 #튜플 #딕셔너리
3380,컨버티드: 마음을 훔치는 데이터분석의 기술,경제/경영,"17,800",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
3381,데이터 천재들은 어떻게 기획하고 분석할까?,경제/경영,"18,000",9.0,0,#크롤링 #엑셀 파일 #네이버
3382,2022 에듀윌 한국사능력검정시험 2주끝장 심화,인문,"21,000",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
3383,이기적 빅데이터분석기사 실기 기본서,컴퓨터/IT,"32,000",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
3384,면접을 위한 CS 전공지식 노트,컴퓨터/IT,"24,000",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
3385,팩트풀니스,인문,"19,800",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
3386,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,0,#급 합격 #빈출 #단기 합격
3387,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
3388,변화하는 세계 질서,경제/경영,"38,000",10,0,#스레드 #디자인 패턴 #무결성
3389,2022 ADsP 데이터 분석 준전문가,컴퓨터/IT,"28,000",9.9,1,#사실충실성 #탈진실 #편견
3390,나는 대출 없이 0원으로 소형 아파트를 산다,경제/경영,"20,000",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
3391,진짜 쓰는 실무 엑셀,컴퓨터/IT,"21,000",0.0,7,#모의고사 #인사이트 #마이닝
3392,데이터로 경험을 디자인하라,경제/경영,"19,000",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
3393,그냥 하지 말라 10만부 기념 리커버에디션(색상랜덤),경제/경영,"17,000",9.9,0,#쿼리 #피벗 테이블 #슬라이
3394,SQL 자격검정 실전문제,컴퓨터/IT,"18,000",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
3395,비전공자를 위한 이해할 수 있는 IT 지식,컴퓨터/IT,"16,800",8.3,14,#자본 #미래상 #빅데이터
3396,2022 수제비 정보처리기사 필기 1권+2권 합본세트,컴퓨터/IT,"36,500",9.5,256,#고급 활용 #국가 공인 #아키텍처
3397,Do it! 쉽게 배우는 파이썬 데이터 분석,컴퓨터/IT,"23,000",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
3398,1일 1로그 100일 완성 IT 지식,컴퓨터/IT,"20,000",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
3399,만들면서 배우는 파이썬과 40개의 작품들,컴퓨터/IT,"18,800",9.4,67,#프로그래밍 #튜플 #딕셔너리
3400,2022 이기적 컴퓨터활용능력 2급 필기 기본서,컴퓨터/IT,"20,000",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
3401,"빅데이터, 인공지능을 만나다",경제/경영,"19,000",9.0,0,#크롤링 #엑셀 파일 #네이버
3402,컨버티드: 마음을 훔치는 데이터분석의 기술,경제/경영,"17,800",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
3403,데이터 천재들은 어떻게 기획하고 분석할까?,경제/경영,"18,000",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
3404,2022 에듀윌 한국사능력검정시험 2주끝장 심화,인문,"21,000",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
3405,이기적 빅데이터분석기사 실기 기본서,컴퓨터/IT,"32,000",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
3406,면접을 위한 CS 전공지식 노트,컴퓨터/IT,"24,000",10,0,#급 합격 #빈출 #단기 합격
3407,팩트풀니스,인문,"19,800",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
3408,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,0,#스레드 #디자인 패턴 #무결성
3409,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.9,1,#사실충실성 #탈진실 #편견
